Raza,Sexo,Peso,Largo,Cintura,Color,Talla,Edad,Reporte,Equipo,Fecha,Error,Tiempo
peruano,hembra,676.59,23,NA,blanco,NA,17,Ser. No.: 6543BF2-X - Date: 2024-02-19 08:33:20.2 - Status: OK,1,2024-02-19T13:33:20Z,FALSE,NA
peruano,macho,683.33,NA,20,negro,sano,58,Ser. No.: 6543BF2-X - Date: 2024-02-19 08:33:58.663 - Status: OK,1,2024-02-19T13:33:58Z,FALSE,0.6410500009854635
peruano,hembra,776.16,NA,18,blanco,sano,65,Ser. No.: 6543BF2-X - Date: 2024-02-19 08:35:06.686 - Status: OK,1,2024-02-19T13:35:06Z,FALSE,1.1337166666984555
andino,macho,724.53,27,19,rojizo,sano,28,Ser. No.: 6543BF2-X - Date: 2024-02-19 08:37:13.534 - Status: OK,1,2024-02-19T13:37:13Z,FALSE,2.114133330186208
peruano,macho,NA,27,NA,marrón,NA,17,Ser. No.: 6543BF2-X - Date: 2024-02-19 08:41:56.002 - Status: OK,1,2024-02-19T13:41:56Z,FALSE,4.707800002892812
abisinio,macho,698.06,26,17,marrón oscuro,sano,60,Ser. No.: 6543BF2-X - Date: 2024-02-19 08:50:15.663 - Status: OK,1,2024-02-19T13:50:15Z,FALSE,8.327683333555857
americano,macho,NA,29,19,marrón,NA,19,Ser. No.: 6543BF2-X - Date: 2024-02-19 08:57:24.352 - Status: OK,1,2024-02-19T13:57:24Z,FALSE,7.144816664854686
peruano,hembra,486,29,16,marrón,sano,46,Ser. No.: 6543BF2-X - Date: 2024-02-19 09:03:42.385 - Status: OK,1,2024-02-19T14:03:42Z,FALSE,6.300549999872843
peruano,hembra,800.37,22,NA,blanco,NA,31,Ser. No.: 6543BF2-X - Date: 2024-02-19 09:23:31.777 - Status: OK,1,2024-02-19T14:23:31Z,FALSE,19.823199999332427
peruano,macho,876.15,21,20,blanco,sano,46,Ser. No.: 6543BF2-X - Date: 2024-02-19 09:38:06.123 - Status: OK,1,2024-02-19T14:38:06Z,FALSE,14.572433332602182
híbrido,hembra,1214.07,NA,NA,pintado,NA,34,Ser. No.: 6543BF2-X - Date: 2024-02-19 09:47:00.204 - Status: OK,1,2024-02-19T14:47:00Z,FALSE,8.90135000149409
peruano,hembra,679.37,26,18,blanco,sano,36,Ser. No.: 6543BF2-X - Date: 2024-02-19 09:49:25.227 - Status: OK,1,2024-02-19T14:49:25Z,FALSE,2.417050000031789
peruano,macho,664.37,26,21,blanco,sano,15,Ser. No.: 6543BF2-X - Date: 2024-02-19 10:06:31.641 - Status: OK,1,2024-02-19T15:06:31Z,FALSE,17.106900000572203
peruano,macho,859.2,25,20,blanco,sano,51,Ser. No.: 6543BF2-X - Date: 2024-02-19 10:09:02.119 - Status: OK,1,2024-02-19T15:09:02Z,FALSE,2.50796666542689
andino,hembra,696.61,23,19,negro,sano,33,Ser. No.: 6543BF2-X - Date: 2024-02-19 10:12:48.149 - Status: OK,1,2024-02-19T15:12:48Z,FALSE,3.7671666661898295
andino,hembra,758.37,27,NA,tricolor,NA,12,Ser. No.: 6543BF2-X - Date: 2024-02-19 10:15:30.041 - Status: OK,1,2024-02-19T15:15:30Z,FALSE,2.698199999332428
peruano,macho,723.64,NA,18,negro,sano,49,Ser. No.: 6543BF2-X - Date: 2024-02-19 10:32:20.683 - Status: OK,1,2024-02-19T15:32:20Z,FALSE,16.844033336639406
andino,macho,NA,NA,NA,tricolor,NA,41,Ser. No.: 6543BF2-X - Date: 2024-02-19 10:33:46.537 - Status: OK,1,2024-02-19T15:33:46Z,FALSE,1.4308999975522358
americano,hembra,819.53,29,NA,blanco,NA,56,Ser. No.: 6543BF2-X - Date: 2024-02-19 10:34:31.713 - Status: OK,1,2024-02-19T15:34:31Z,FALSE,0.7529333353042602
andino,macho,926.55,29,19,blanco,gordo,54,Ser. No.: 6543BF2-X - Date: 2024-02-19 10:39:25.743 - Status: OK,1,2024-02-19T15:39:25Z,FALSE,4.900499999523163
peruano,hembra,609.22,28,NA,blanco,NA,27,Ser. No.: 6543BF2-X - Date: 2024-02-19 10:56:37.266 - Status: OK,1,2024-02-19T15:56:37Z,FALSE,17.192050000031788
peruano,macho,698.63,NA,NA,marrón,NA,49,Ser. No.: 6543BF2-X - Date: 2024-02-19 11:04:41.403 - Status: OK,1,2024-02-19T16:04:41Z,FALSE,8.068950001398722
