Modelo,Color,Año Modelo,Modalidad de Venta,Moneda,Precio Real,PRECIO DE VENTA,Tipo Cambio (a soles),Tipo Cliente,Genero,Estado Civil,Kilometraje (x10 mil km),Siniestros,Mes
HILUX,BLANCO,2022,Venta Directa,US $,43870,35096,4,JUR,Masculino,Soltero,10,4,Enero
HILUX,GRIS OSCURO METALICO,2022,Crédito Vehicular MAF,US $,39800,31840,4,NAT,Masculino,Soltero,7,2,Febrero
RUSH,PLATA METALICO,2021,Venta Directa,US $,21690,17352,4,NAT,Masculino,Soltero,6,3,Marzo
ETIOS,BLANCO,2020,Venta Directa,US $,10690,8552,4,JUR,Femenino,Soltero,12,5,Junio
RUSH,ROJO MICA METALICO,2020,Venta Directa,US $,22500,18000,4,NAT,Femenino,Soltero,6,3,Octubre
ETIOS,BLANCO,2020,Venta Directa,US $,11090,8872,4,NAT,Masculino,Soltero,0,0,Octubre
HILUX,GRIS OSCURO METALICO,2024,Crédito Vehicular MAF,US $,47160,37728,4,NAT,Femenino,Soltero,2,1,Diciembre
AVANZA,GRIS OSCURO METALICO,2024,Crédito Vehicular MAF,US $,17270,13816,4,NAT,Femenino,Soltero,5,3,Abril
YARIS CROSS,BLANCO,2024,Venta Directa,US $,23320,18656,4,NAT,Masculino,Soltero,6,3,Noviembre
RUSH,PLATA METALICO,2022,Crédito Vehicular MAF,US $,21440,17152,4,NAT,Femenino,Soltero,10,5,Octubre
AVANZA,PLATA METALICO,2023,Venta Directa,US $,17570,14056,4,NAT,Femenino,Soltero,12,6,Julio
HILUX,GRIS OSCURO METALICO,2023,Crédito Vehicular MAF,US $,47290,37832,4,JUR,Masculino,Soltero,11,4,Agosto
RUSH,ROJO MICA METALICO,2023,Crédito Vehicular MAF,US $,22540,18032,4,NAT,Masculino,Soltero,7,2,Diciembre
HILUX,BLANCO,2022,Crédito Vehicular MAF,US $,48450,38760,4,JUR,Masculino,Soltero,6,4,Marso
HILUX,BLANCO,2022,Venta Directa,US $,43850,35080,4,JUR,Masculino,Soltero,12,3,Junio
FORTUNER,PLATA METALICO,2020,Venta Directa,US $,49490,39592,4,JUR,Masculino,Soltero,6,1,Mayo
ETIOS,BLANCO,2020,Venta Directa,US $,11590,9272,4,NAT,Masculino,Soltero,0,0,Setiembre
